time,id,mA,V,W
43.873,B,719.720,4.040,2.908
43.894,B,615.320,4.060,2.498
43.911,B,568.200,4.060,2.307
43.932,B,578.320,4.050,2.342
43.952,B,576.520,4.050,2.335
43.972,B,564.520,4.050,2.286
43.992,B,583.520,4.040,2.357
44.012,B,591.200,4.040,2.388
44.030,B,596.320,4.060,2.421
44.051,B,537.400,4.050,2.176
44.070,B,562.720,4.060,2.285
44.090,B,532.600,4.050,2.157
44.112,B,564.520,4.040,2.281
44.128,B,710.920,4.020,2.858
44.149,B,637.720,4.020,2.564
44.168,B,592.000,4.050,2.398
44.189,B,597.120,4.030,2.406
44.209,B,581.920,4.040,2.351
44.228,B,631.000,4.050,2.556
44.247,B,601.520,4.040,2.430
44.268,B,589.400,4.020,2.369
44.287,B,609.520,4.040,2.462
44.308,B,527.320,4.040,2.130
44.326,B,588.120,4.040,2.376
44.345,B,596.120,4.040,2.408
44.366,B,591.520,4.050,2.396
44.385,B,729.320,4.040,2.946
44.406,B,634.520,4.060,2.576
44.426,B,513.320,4.060,2.084
44.444,B,587.720,4.040,2.374
44.464,B,622.200,4.050,2.520
44.484,B,612.200,4.050,2.479
44.504,B,679.520,4.000,2.718
44.525,B,618.800,4.050,2.506
44.543,B,567.120,4.040,2.291
44.562,B,621.400,4.030,2.504
44.583,B,623.520,4.050,2.525
44.602,B,623.520,4.040,2.519
44.623,B,727.120,4.020,2.923
44.641,B,628.120,4.060,2.550
44.661,B,621.720,4.040,2.512
44.681,B,557.920,4.060,2.265
44.701,B,546.120,4.050,2.212
44.721,B,557.120,4.070,2.267
44.740,B,483.120,4.060,1.961
44.759,B,491.000,4.060,1.993
44.779,B,477.720,4.060,1.940
44.799,B,499.600,4.070,2.033
44.819,B,419.920,4.060,1.705
44.840,B,437.400,4.030,1.763
44.857,B,608.320,4.040,2.458
44.878,B,638.000,4.010,2.558
44.897,B,674.200,4.040,2.724
44.918,B,551.800,4.070,2.246
44.938,B,492.400,4.070,2.004
44.956,B,509.920,4.060,2.070
44.976,B,506.720,4.060,2.057
44.996,B,460.400,4.060,1.869
45.016,B,439.920,4.040,1.777
45.036,B,458.720,4.060,1.862
45.055,B,449.200,4.060,1.824
45.074,B,455.720,4.020,1.832
45.095,B,441.800,4.070,1.798
45.116,B,401.800,4.060,1.631
45.135,B,589.720,3.990,2.353
45.153,B,600.000,4.040,2.424
45.173,B,608.800,4.040,2.460
45.193,B,538.600,4.060,2.187
45.213,B,437.520,4.070,1.781
45.233,B,433.800,4.060,1.761
45.254,B,466.720,4.020,1.876
45.271,B,599.000,4.040,2.420
45.291,B,557.400,4.040,2.252
45.311,B,600.320,4.050,2.431
45.331,B,617.520,4.050,2.501
45.352,B,598.200,4.050,2.423
45.369,B,665.000,4.010,2.667
45.390,B,688.800,4.060,2.797
45.410,B,625.600,4.050,2.534
45.430,B,603.000,4.040,2.436
45.450,B,635.000,4.050,2.572
45.469,B,601.120,4.040,2.429
45.488,B,600.200,4.040,2.425
45.508,B,599.000,4.040,2.420
45.528,B,596.920,4.040,2.412
45.548,B,596.200,4.050,2.415
45.567,B,626.120,4.050,2.536
45.586,B,594.800,4.040,2.403
45.607,B,624.520,4.050,2.529
45.627,B,586.320,4.030,2.363
45.647,B,655.720,4.040,2.649
45.667,B,604.720,4.040,2.443
45.685,B,590.000,4.040,2.384
45.705,B,588.920,4.050,2.385
45.726,B,575.120,4.050,2.329
45.745,B,580.400,4.030,2.339
45.765,B,596.720,4.030,2.405
45.783,B,572.200,4.070,2.329
45.803,B,503.000,4.060,2.042
45.824,B,508.000,4.060,2.062
45.843,B,493.400,4.070,2.008
45.864,B,443.320,4.060,1.800
45.882,B,535.000,4.040,2.161
45.902,B,701.520,4.050,2.841
45.922,B,589.920,4.040,2.383
45.942,B,591.720,4.040,2.391
45.962,B,576.600,4.050,2.335
45.980,B,428.800,4.080,1.750
46.000,B,449.720,4.070,1.830
46.020,B,406.720,4.060,1.651
46.040,B,402.400,4.060,1.634
46.060,B,423.520,4.070,1.724
46.079,B,428.800,4.070,1.745
46.099,B,400.520,4.060,1.626
46.120,B,516.200,3.990,2.060
46.139,B,744.000,4.060,3.021
46.159,B,579.320,4.050,2.346
46.179,B,561.720,4.050,2.275
46.196,B,460.320,4.070,1.874
46.217,B,434.200,4.070,1.767
46.237,B,467.320,4.030,1.883
46.257,B,560.720,4.040,2.265
46.277,B,563.000,4.020,2.263
46.296,B,557.920,4.040,2.254
46.315,B,559.320,4.040,2.260
46.336,B,579.600,4.050,2.347
46.355,B,574.000,4.050,2.325
46.376,B,593.600,4.040,2.398
46.394,B,717.120,4.070,2.919
46.414,B,490.120,4.070,1.995
46.434,B,461.520,4.060,1.874
46.453,B,459.600,4.060,1.866
46.474,B,470.920,4.060,1.912
46.492,B,420.920,4.060,1.709
46.512,B,543.320,4.040,2.195
46.532,B,557.520,4.040,2.252
46.553,B,555.920,4.050,2.251
46.572,B,587.200,3.980,2.337
46.593,B,771.400,4.040,3.116
46.611,B,665.720,4.030,2.683
46.631,B,865.920,4.000,3.464
46.651,B,751.320,4.050,3.043
46.671,B,692.400,4.040,2.797
46.691,B,658.120,4.050,2.665
46.709,B,521.720,4.080,2.129
46.729,B,467.120,4.070,1.901
46.749,B,476.400,4.040,1.925
46.769,B,533.800,4.050,2.162
46.789,B,533.720,4.050,2.162
46.808,B,520.000,4.050,2.106
46.827,B,630.800,4.020,2.536
46.848,B,666.320,4.050,2.699
46.867,B,645.120,4.020,2.593
46.888,B,706.600,4.030,2.848
46.906,B,689.600,4.020,2.772
46.926,B,555.000,4.050,2.248
46.946,B,552.800,4.060,2.244
46.966,B,548.520,4.060,2.227
46.986,B,613.320,4.060,2.490
47.006,B,564.520,4.060,2.292
47.025,B,531.800,4.050,2.154
47.044,B,527.920,4.050,2.138
47.065,B,527.400,4.050,2.136
47.084,B,543.320,4.050,2.200
47.105,B,610.000,4.030,2.458
47.123,B,631.120,4.060,2.562
47.143,B,550.600,4.060,2.235
47.163,B,526.200,4.060,2.136
47.182,B,520.520,4.040,2.103
47.203,B,516.120,4.060,2.095
47.221,B,513.600,4.060,2.085
47.241,B,533.600,4.050,2.161
47.261,B,568.000,4.040,2.295
47.281,B,561.920,4.030,2.265
47.301,B,558.200,4.040,2.255
47.320,B,552.720,4.050,2.239
47.340,B,557.000,4.040,2.250
47.360,B,561.720,4.040,2.269
47.380,B,730.720,4.020,2.937
47.400,B,573.600,4.050,2.323
47.420,B,565.600,4.050,2.291
47.438,B,560.000,4.050,2.268
47.458,B,543.120,4.050,2.200
47.478,B,506.200,4.050,2.050
47.498,B,510.720,4.050,2.068
47.518,B,507.920,4.050,2.057
47.537,B,507.000,4.050,2.053
47.556,B,505.400,4.050,2.047
47.577,B,507.200,4.050,2.054
47.596,B,511.800,4.050,2.073
47.617,B,513.600,4.050,2.080
47.635,B,659.320,4.030,2.657
47.654,B,560.600,4.060,2.276
47.675,B,518.520,4.050,2.100
47.694,B,531.920,4.050,2.154
47.715,B,527.120,4.050,2.135
47.733,B,524.720,4.050,2.125
47.754,B,539.600,4.050,2.185
47.773,B,522.320,4.070,2.126
47.793,B,444.320,4.050,1.799
47.813,B,453.720,4.060,1.842
47.832,B,451.800,4.060,1.834
47.852,B,449.720,4.050,1.821
47.871,B,489.120,4.070,1.991
47.892,B,478.720,4.080,1.953
47.911,B,435.600,4.060,1.769
47.932,B,455.200,4.060,1.848
47.950,B,452.320,4.060,1.836
47.970,B,449.600,4.060,1.825
47.990,B,448.600,4.040,1.812
48.010,B,531.800,4.050,2.154
48.030,B,512.920,4.060,2.082
48.049,B,521.720,4.040,2.108
48.068,B,526.320,4.050,2.132
48.089,B,524.720,4.060,2.130
48.109,B,515.800,4.050,2.089
48.128,B,649.200,4.010,2.603
48.147,B,564.920,4.060,2.294
48.166,B,524.000,4.060,2.127
48.187,B,533.720,4.060,2.167
48.206,B,535.200,4.050,2.168
48.227,B,513.000,4.060,2.083
48.245,B,511.600,4.050,2.072
48.266,B,512.920,4.050,2.077
48.285,B,509.920,4.050,2.065
48.306,B,517.000,4.050,2.094
48.325,B,508.320,4.050,2.059
48.346,B,514.400,4.050,2.083
48.364,B,511.920,4.050,2.073
48.383,B,626.120,4.010,2.511
48.404,B,514.400,4.050,2.083
48.423,B,515.200,4.050,2.087
48.444,B,508.800,4.050,2.061
48.462,B,509.320,4.050,2.063
48.482,B,507.520,4.050,2.055
48.502,B,510.000,4.050,2.066
48.523,B,514.720,4.050,2.085
48.542,B,507.200,4.050,2.054
48.561,B,506.920,4.050,2.053
48.580,B,507.000,4.050,2.053
48.600,B,563.800,4.040,2.278
48.621,B,668.000,4.010,2.679
48.640,B,622.520,4.070,2.534
48.659,B,520.600,4.060,2.114
48.679,B,515.400,4.060,2.093
48.699,B,514.600,4.060,2.089
48.719,B,518.800,4.050,2.101
48.739,B,506.600,4.050,2.052
48.757,B,507.400,4.050,2.055
48.778,B,506.920,4.050,2.053
48.797,B,506.120,4.050,2.050
48.818,B,513.520,4.050,2.080
48.837,B,506.400,4.050,2.051
48.857,B,506.800,4.050,2.053
48.876,B,577.600,4.030,2.328
48.895,B,694.600,4.070,2.827
48.916,B,559.600,4.060,2.272
48.936,B,519.920,4.040,2.100
48.956,B,521.320,4.040,2.106
48.974,B,538.000,4.060,2.184
48.994,B,532.800,4.050,2.158
49.014,B,542.920,4.060,2.204
49.035,B,568.920,4.060,2.310
49.054,B,438.000,4.070,1.783
49.072,B,457.320,4.050,1.852
49.092,B,556.200,4.050,2.253
49.112,B,527.000,4.050,2.134
49.133,B,650.800,4.020,2.616
49.152,B,550.400,4.050,2.229
49.171,B,547.000,4.050,2.215
49.191,B,518.120,4.080,2.114
49.211,B,456.600,4.060,1.854
49.231,B,462.200,4.050,1.872
49.251,B,528.400,4.040,2.135
49.271,B,540.720,4.050,2.190
49.289,B,542.120,4.040,2.190
49.309,B,515.600,4.070,2.098
49.329,B,449.920,4.060,1.827
49.350,B,538.720,4.050,2.182
49.369,B,561.400,4.020,2.257
49.388,B,656.000,4.060,2.663
49.407,B,557.520,4.050,2.258
49.428,B,533.720,4.050,2.162
49.448,B,557.200,4.020,2.240
49.468,B,599.600,4.040,2.422
49.486,B,588.200,4.030,2.370
49.506,B,595.400,4.010,2.388
49.526,B,591.120,4.010,2.370
49.546,B,596.400,4.040,2.409
49.566,B,699.720,4.010,2.806
49.584,B,601.400,4.050,2.436
49.605,B,590.200,4.060,2.396
49.624,B,584.720,4.000,2.339
49.645,B,743.400,4.050,3.011
49.664,B,568.520,4.050,2.303
49.685,B,575.400,4.050,2.330
49.703,B,544.000,4.050,2.203
49.723,B,521.800,4.060,2.119
49.743,B,516.520,4.060,2.097
49.763,B,658.520,4.030,2.654
49.783,B,475.800,4.040,1.922
49.801,B,547.720,4.040,2.213
49.821,B,582.920,4.030,2.349
49.841,B,544.320,4.050,2.204
49.862,B,546.120,4.020,2.195
49.881,B,717.200,4.030,2.890
49.900,B,681.320,4.050,2.759
49.920,B,607.600,4.040,2.455
49.940,B,572.000,4.070,2.328
49.960,B,500.600,4.060,2.032
49.980,B,633.120,4.030,2.551
49.998,B,723.200,4.020,2.907
50.018,B,768.400,4.020,3.089
50.038,B,766.520,4.020,3.081
50.058,B,791.120,4.020,3.180
50.078,B,781.720,4.020,3.143
50.098,B,680.720,4.050,2.757
50.117,B,539.520,4.070,2.196
50.136,B,702.600,4.050,2.846
50.157,B,582.520,4.050,2.359
50.176,B,556.920,4.050,2.256
50.197,B,559.200,4.050,2.265
50.215,B,606.000,4.050,2.454
50.235,B,603.600,4.040,2.439
50.255,B,611.600,4.050,2.477
50.275,B,436.320,4.110,1.793
50.295,B,292.320,4.090,1.196
50.313,B,480.200,4.060,1.950
50.334,B,428.600,4.060,1.740
50.353,B,406.920,4.060,1.652
50.374,B,406.800,4.060,1.652
50.393,B,526.920,4.050,2.134
50.412,B,410.800,4.060,1.668
50.432,B,548.000,4.040,2.214
50.452,B,550.200,4.050,2.228
50.472,B,549.120,4.050,2.224
50.491,B,557.120,4.040,2.251
50.511,B,681.720,4.050,2.761
50.530,B,651.320,4.030,2.625
50.550,B,445.720,4.060,1.810
50.570,B,290.720,4.060,1.180
50.590,B,268.400,4.090,1.098
50.610,B,229.720,4.090,0.940
50.630,B,234.320,4.080,0.956
50.649,B,229.120,4.070,0.933
50.669,B,228.600,4.080,0.933
50.689,B,222.920,4.080,0.910
50.709,B,237.800,4.080,0.970
50.727,B,243.200,4.080,0.992
50.747,B,243.520,4.080,0.994
50.767,B,246.400,4.060,1.000
50.787,B,246.520,4.080,1.006
50.807,B,243.200,4.080,0.992
50.825,B,303.600,4.050,1.230
50.846,B,255.200,4.070,1.039
50.865,B,243.800,4.080,0.995
50.886,B,252.800,4.090,1.034
50.905,B,243.000,4.060,0.987
50.924,B,238.320,4.080,0.972
50.944,B,239.400,4.080,0.977
50.963,B,230.600,4.070,0.939
50.984,B,245.000,4.080,1.000
51.003,B,230.200,4.080,0.939
51.022,B,230.720,4.080,0.941
51.042,B,254.520,4.080,1.038
51.062,B,282.120,4.070,1.148
51.082,B,317.120,4.030,1.278
51.102,B,299.000,4.040,1.208
51.122,B,323.120,4.080,1.318
51.141,B,247.000,4.080,1.008
51.160,B,237.320,4.080,0.968
51.181,B,244.600,4.090,1.000
51.200,B,235.920,4.080,0.963
51.220,B,249.600,4.080,1.018
51.239,B,242.320,4.080,0.989
51.259,B,235.000,4.080,0.959
51.279,B,236.520,4.080,0.965
51.299,B,247.120,4.070,1.006
51.319,B,307.600,4.050,1.246
51.337,B,269.520,4.090,1.102
51.358,B,244.800,4.080,0.999
51.377,B,251.520,4.060,1.021
51.398,B,242.120,4.080,0.988
51.417,B,237.000,4.080,0.967
51.435,B,237.400,4.080,0.969
51.456,B,228.400,4.080,0.932
51.475,B,234.920,4.080,0.958
51.496,B,267.320,4.070,1.088
51.515,B,350.800,4.050,1.421
51.534,B,397.120,4.060,1.612
51.554,B,368.000,4.060,1.494
51.574,B,342.520,4.050,1.387
51.594,B,403.600,4.060,1.639
51.614,B,407.600,4.070,1.659
51.634,B,403.920,4.080,1.648
51.653,B,308.320,4.070,1.255
51.672,B,245.200,4.080,1.000
51.692,B,242.400,4.080,0.989
51.713,B,234.120,4.080,0.955
51.732,B,231.400,4.080,0.944
51.751,B,231.600,4.080,0.945
51.771,B,229.800,4.080,0.938
51.791,B,231.320,4.080,0.944
51.811,B,232.520,4.080,0.949
51.831,B,234.000,4.080,0.955
51.849,B,229.120,4.080,0.935
51.870,B,227.320,4.080,0.927
51.889,B,240.600,4.070,0.979
51.909,B,284.000,4.060,1.153
51.929,B,369.400,4.040,1.492
51.947,B,323.400,4.050,1.310
51.968,B,277.800,4.080,1.133
51.987,B,237.800,4.080,0.970
52.008,B,243.520,4.080,0.994
52.028,B,228.600,4.080,0.933
52.046,B,233.800,4.080,0.954
52.066,B,230.800,4.080,0.942
52.086,B,220.200,4.080,0.898
52.106,B,231.720,4.080,0.945
52.127,B,224.600,4.080,0.916
52.144,B,219.320,4.080,0.895
52.164,B,224.400,4.080,0.916
52.184,B,219.120,4.080,0.894
52.204,B,318.920,4.090,1.304
52.225,B,238.600,4.080,0.973
52.244,B,241.720,4.080,0.986
52.263,B,237.720,4.080,0.970
52.282,B,234.720,4.080,0.958
52.303,B,244.200,4.070,0.994
52.323,B,230.200,4.080,0.939
52.343,B,231.120,4.080,0.943
52.361,B,231.320,4.080,0.944
52.381,B,226.800,4.080,0.925
52.401,B,238.120,4.080,0.972
52.421,B,226.320,4.080,0.923
52.441,B,226.400,4.080,0.924
52.459,B,229.800,4.070,0.935
52.480,B,226.320,4.080,0.923
52.500,B,232.200,4.080,0.947
52.520,B,223.320,4.070,0.909
52.540,B,226.720,4.080,0.925
52.558,B,226.200,4.080,0.923
52.578,B,232.520,4.080,0.949
52.599,B,230.600,4.080,0.941
52.618,B,231.800,4.080,0.946
52.638,B,231.000,4.080,0.942
52.656,B,226.000,4.080,0.922
52.676,B,226.400,4.080,0.924
52.696,B,226.000,4.080,0.922
52.716,B,236.320,4.080,0.964
52.737,B,227.000,4.080,0.926
52.754,B,227.120,4.080,0.927
52.775,B,226.600,4.080,0.925
52.794,B,226.400,4.080,0.924
52.815,B,230.800,4.080,0.942
52.835,B,225.000,4.070,0.916
52.854,B,223.920,4.080,0.914
52.873,B,230.800,4.080,0.942
52.893,B,226.320,4.080,0.923
52.913,B,225.920,4.080,0.922
52.933,B,235.800,4.080,0.962
52.953,B,233.400,4.080,0.952
52.971,B,230.600,4.080,0.941
52.992,B,237.200,4.070,0.965
53.011,B,235.520,4.080,0.961
53.032,B,230.920,4.080,0.942
53.051,B,230.720,4.080,0.941
53.070,B,224.920,4.070,0.915
53.090,B,229.120,4.080,0.935
53.110,B,226.120,4.080,0.923
53.130,B,236.120,4.070,0.961
53.150,B,225.600,4.080,0.920
53.168,B,230.400,4.080,0.940
53.188,B,225.400,4.080,0.920
53.209,B,225.920,4.080,0.922
53.228,B,225.800,4.080,0.921
53.249,B,227.720,4.080,0.929
53.266,B,226.800,4.080,0.925
53.287,B,225.520,4.080,0.920
53.307,B,226.000,4.080,0.922
53.326,B,228.520,4.070,0.930
53.347,B,229.200,4.070,0.933
53.366,B,223.720,4.080,0.913
53.385,B,225.200,4.080,0.919
53.405,B,230.320,4.080,0.940
53.425,B,225.200,4.080,0.919
53.445,B,232.520,4.080,0.949
53.465,B,230.320,4.080,0.940
53.483,B,230.520,4.080,0.941
53.504,B,226.320,4.090,0.926
53.523,B,231.920,4.070,0.944
53.544,B,234.400,4.080,0.956
53.563,B,225.600,4.080,0.920
53.581,B,224.120,4.070,0.912
53.602,B,226.720,4.070,0.923
53.622,B,221.400,4.080,0.903
53.642,B,232.400,4.080,0.948
53.661,B,230.400,4.080,0.940
53.680,B,225.720,4.080,0.921
53.700,B,225.000,4.080,0.918
53.721,B,230.120,4.080,0.939
53.740,B,228.720,4.070,0.931
53.761,B,227.000,4.080,0.926
53.779,B,230.120,4.080,0.939
53.798,B,223.520,4.070,0.910
53.819,B,219.720,4.080,0.896
53.838,B,229.400,4.080,0.936
53.859,B,231.600,4.080,0.945
53.876,B,225.400,4.080,0.920
53.897,B,240.000,4.080,0.979
53.917,B,225.120,4.080,0.918
53.937,B,229.720,4.080,0.937
53.957,B,246.920,4.080,1.007
53.977,B,230.000,4.080,0.938
53.995,B,229.920,4.080,0.938
54.016,B,227.800,4.080,0.929
54.035,B,234.320,4.070,0.954
54.055,B,237.600,4.070,0.967
54.075,B,228.120,4.080,0.931
54.093,B,221.600,4.070,0.902
54.114,B,228.920,4.070,0.932
54.133,B,219.920,4.080,0.897
54.154,B,239.800,4.080,0.978
54.173,B,225.320,4.080,0.919
54.192,B,225.200,4.080,0.919
54.212,B,225.200,4.080,0.919
54.233,B,248.720,4.060,1.010
54.252,B,297.320,4.080,1.213
54.272,B,287.000,4.080,1.171
54.291,B,283.000,4.080,1.155
54.310,B,294.400,4.070,1.198
54.331,B,282.920,4.080,1.154
54.350,B,281.320,4.070,1.145
54.371,B,281.400,4.070,1.145
54.389,B,281.520,4.080,1.149
54.409,B,277.920,4.080,1.134
54.429,B,280.520,4.080,1.145
54.449,B,274.200,4.070,1.116
54.469,B,280.000,4.080,1.142
54.490,B,274.320,4.080,1.119
54.507,B,238.120,4.080,0.972
54.527,B,230.520,4.080,0.941
54.547,B,226.800,4.080,0.925
54.567,B,233.920,4.080,0.954
54.588,B,231.520,4.080,0.945
54.605,B,232.800,4.070,0.947
54.626,B,226.920,4.080,0.926
54.645,B,223.600,4.070,0.910
54.666,B,233.320,4.080,0.952
54.686,B,226.520,4.080,0.924
54.705,B,226.600,4.080,0.925
54.724,B,231.200,4.080,0.943
54.743,B,226.200,4.080,0.923
54.764,B,233.400,4.080,0.952
54.784,B,231.000,4.080,0.942
54.803,B,226.720,4.080,0.925
54.822,B,226.920,4.080,0.926
54.843,B,226.200,4.080,0.923
54.862,B,238.120,4.080,0.972
54.883,B,226.320,4.080,0.923
54.901,B,225.000,4.070,0.916
54.922,B,220.320,4.080,0.899
54.941,B,267.600,4.060,1.086
54.961,B,382.320,4.030,1.541
54.981,B,338.800,4.050,1.372
55.001,B,339.200,4.090,1.387
55.019,B,256.000,4.070,1.042
55.039,B,236.800,4.090,0.969
55.059,B,233.720,4.080,0.954
55.079,B,239.000,4.080,0.975
55.100,B,231.920,4.070,0.944
55.117,B,234.120,4.080,0.955
55.138,B,231.720,4.070,0.943
55.157,B,224.720,4.080,0.917
55.178,B,228.200,4.070,0.929
55.198,B,225.200,4.080,0.919
55.215,B,224.920,4.080,0.918
55.236,B,224.720,4.080,0.917
55.255,B,229.400,4.080,0.936
55.276,B,232.520,4.080,0.949
55.296,B,224.320,4.080,0.915
55.315,B,229.520,4.080,0.936
55.334,B,224.320,4.080,0.915
55.355,B,224.320,4.080,0.915
55.374,B,236.200,4.080,0.964
55.395,B,223.320,4.070,0.909
55.413,B,221.800,4.070,0.903
55.433,B,220.000,4.080,0.898
55.453,B,229.400,4.080,0.936
55.472,B,231.600,4.080,0.945
55.493,B,224.400,4.080,0.916
55.511,B,234.120,4.080,0.955
55.531,B,225.000,4.080,0.918
55.551,B,228.200,4.070,0.929
55.571,B,230.320,4.080,0.940
55.591,B,301.120,4.060,1.223
55.612,B,242.720,4.080,0.990
55.629,B,230.600,4.080,0.941
55.650,B,229.920,4.080,0.938
55.670,B,228.400,4.080,0.932
55.689,B,231.920,4.080,0.946
55.710,B,233.800,4.080,0.954
55.727,B,230.200,4.080,0.939
55.748,B,230.520,4.080,0.941
55.768,B,231.920,4.080,0.946
55.788,B,237.520,4.080,0.969
55.808,B,230.320,4.080,0.940
55.827,B,235.000,4.090,0.961
55.846,B,230.800,4.080,0.942
55.867,B,232.200,4.080,0.947
55.886,B,236.720,4.080,0.966
55.907,B,234.520,4.080,0.957
55.925,B,227.520,4.070,0.926
55.944,B,225.720,4.080,0.921
55.965,B,229.600,4.080,0.937
55.984,B,270.720,4.060,1.099
56.005,B,314.520,4.090,1.286
56.023,B,251.120,4.090,1.027
56.043,B,251.400,4.090,1.028
56.063,B,233.920,4.070,0.952
56.084,B,234.320,4.070,0.954
56.103,B,222.800,4.080,0.909
56.124,B,225.600,4.090,0.923
56.141,B,217.120,4.080,0.886
56.161,B,216.600,4.090,0.886
56.182,B,221.400,4.080,0.903
56.201,B,225.920,4.080,0.922
56.222,B,216.320,4.080,0.883
56.239,B,212.200,4.070,0.864
56.260,B,217.320,4.080,0.887
56.280,B,285.400,4.040,1.153
56.300,B,253.520,4.090,1.037
56.320,B,241.000,4.080,0.983
56.339,B,237.120,4.080,0.967
56.358,B,231.520,4.080,0.945
56.379,B,237.920,4.080,0.971
56.398,B,235.520,4.080,0.961
56.418,B,224.720,4.080,0.917
56.437,B,223.920,4.080,0.914
56.456,B,225.320,4.070,0.917
56.477,B,222.120,4.070,0.904
56.496,B,225.800,4.080,0.921
56.517,B,224.400,4.080,0.916
56.535,B,224.120,4.080,0.914
56.555,B,250.200,4.060,1.016
56.575,B,368.400,4.030,1.485
56.595,B,432.600,4.060,1.756
56.615,B,399.400,4.060,1.622
56.633,B,389.400,4.070,1.585
56.653,B,397.520,4.070,1.618
56.673,B,399.200,4.060,1.621
56.694,B,388.800,4.100,1.594
56.713,B,250.200,4.070,1.018
56.734,B,245.200,4.080,1.000
56.751,B,247.120,4.080,1.008
56.772,B,226.800,4.080,0.925
56.792,B,222.120,4.070,0.904
56.812,B,227.600,4.080,0.929
56.832,B,226.400,4.080,0.924
56.850,B,230.320,4.080,0.940
56.870,B,226.120,4.080,0.923
56.890,B,226.120,4.080,0.923
56.910,B,226.320,4.080,0.923
56.930,B,237.200,4.080,0.968
56.949,B,226.120,4.080,0.923
56.968,B,226.000,4.080,0.922
56.989,B,225.720,4.080,0.921
57.008,B,239.120,4.070,0.973
57.029,B,236.000,4.070,0.961
57.047,B,235.200,4.080,0.960
57.067,B,225.600,4.080,0.920
57.087,B,225.720,4.080,0.921
57.106,B,230.200,4.080,0.939
57.127,B,232.600,4.080,0.949
57.145,B,225.920,4.080,0.922
57.165,B,230.200,4.080,0.939
57.185,B,226.000,4.080,0.922
57.206,B,230.200,4.080,0.939
57.225,B,232.600,4.080,0.949
57.244,B,225.520,4.080,0.920
57.264,B,273.520,4.070,1.113
57.284,B,242.000,4.080,0.987
57.304,B,229.800,4.080,0.938
57.324,B,230.120,4.060,0.934
57.344,B,232.320,4.070,0.946
57.362,B,231.320,4.080,0.944
57.382,B,230.120,4.080,0.939
57.402,B,233.120,4.080,0.951
57.422,B,229.400,4.070,0.934
57.442,B,232.400,4.080,0.948
57.461,B,230.400,4.080,0.940
57.480,B,225.600,4.080,0.920
57.501,B,225.800,4.080,0.921
57.520,B,230.120,4.080,0.939
57.541,B,233.120,4.070,0.949
57.559,B,223.720,4.070,0.911
57.578,B,231.120,4.080,0.943
57.599,B,230.920,4.080,0.942
57.619,B,225.600,4.080,0.920
57.639,B,233.720,4.080,0.954
57.657,B,230.200,4.080,0.939
57.677,B,225.800,4.080,0.921
57.697,B,230.320,4.080,0.940
57.717,B,225.600,4.080,0.920
57.737,B,234.600,4.080,0.957
57.756,B,278.400,4.030,1.122
57.776,B,326.400,4.080,1.332
57.796,B,349.600,4.050,1.416
57.816,B,316.600,4.060,1.285
57.835,B,292.520,4.050,1.185
57.856,B,268.400,4.090,1.098
57.874,B,245.200,4.080,1.000
57.894,B,227.800,4.080,0.929
57.914,B,254.320,4.070,1.035
57.934,B,335.720,4.050,1.360
57.954,B,422.920,4.070,1.721
57.973,B,394.320,4.050,1.597
57.992,B,408.000,4.060,1.656
58.013,B,409.000,4.060,1.661
58.032,B,433.720,4.060,1.761
58.052,B,413.920,4.070,1.685
58.071,B,391.720,4.080,1.598
58.090,B,285.320,4.040,1.153
58.111,B,351.520,4.050,1.424
58.130,B,303.320,4.060,1.231
58.151,B,268.400,4.090,1.098
58.169,B,261.600,4.080,1.067
58.189,B,254.520,4.080,1.038
58.209,B,244.120,4.060,0.991
58.229,B,304.200,4.050,1.232
58.249,B,419.400,4.060,1.703
58.268,B,294.720,4.090,1.205
58.288,B,282.000,4.090,1.153
58.307,B,236.920,4.080,0.967
58.328,B,234.720,4.080,0.958
58.347,B,235.800,4.070,0.960
58.368,B,225.400,4.080,0.920
58.386,B,234.720,4.080,0.958
58.406,B,217.400,4.090,0.889
58.426,B,217.320,4.080,0.887
58.446,B,223.520,4.080,0.912
58.466,B,216.120,4.070,0.880
58.485,B,215.200,4.070,0.876
58.504,B,215.520,4.080,0.879
58.524,B,296.400,4.060,1.203
58.545,B,250.200,4.080,1.021
58.564,B,250.400,4.090,1.024
58.583,B,236.720,4.080,0.966
58.602,B,231.800,4.080,0.946
58.623,B,237.400,4.070,0.966
58.643,B,237.000,4.080,0.967
58.663,B,231.120,4.080,0.943
58.681,B,223.800,4.070,0.911
58.701,B,226.200,4.070,0.921
58.721,B,219.800,4.080,0.897
58.742,B,224.520,4.080,0.916
58.761,B,235.720,4.080,0.962
58.779,B,224.520,4.080,0.916
58.800,B,225.000,4.080,0.918
58.819,B,224.200,4.080,0.915
58.840,B,224.000,4.080,0.914
58.859,B,239.920,4.080,0.979
58.878,B,224.000,4.080,0.914
58.898,B,227.320,4.070,0.925
58.918,B,224.600,4.090,0.919
58.938,B,225.120,4.090,0.921
58.958,B,231.120,4.080,0.943
58.978,B,224.400,4.070,0.913
58.996,B,221.200,4.070,0.900
59.016,B,233.400,4.080,0.952
59.036,B,239.400,4.070,0.974
59.056,B,237.120,4.070,0.965
59.076,B,231.200,4.080,0.943
59.095,B,228.920,4.080,0.934
59.114,B,223.720,4.080,0.913
59.135,B,224.200,4.080,0.915
59.155,B,228.720,4.070,0.931
