time,id,mA,V,W
3.506,B,178.400,4.080,0.728
3.523,B,178.120,4.080,0.727
3.543,B,178.120,4.080,0.727
3.563,B,185.800,4.070,0.756
3.583,B,185.600,4.080,0.757
3.604,B,182.600,4.080,0.745
3.622,B,178.120,4.080,0.727
3.642,B,193.800,4.080,0.791
3.662,B,193.600,4.080,0.790
3.682,B,187.320,4.080,0.764
3.702,B,186.920,4.070,0.761
3.721,B,185.520,4.080,0.757
3.740,B,177.720,4.080,0.725
3.761,B,184.000,4.080,0.751
3.780,B,177.920,4.080,0.726
3.800,B,177.720,4.080,0.725
3.819,B,177.800,4.080,0.725
3.838,B,177.600,4.080,0.725
3.859,B,183.400,4.080,0.748
3.879,B,183.400,4.080,0.748
3.899,B,177.800,4.090,0.727
3.919,B,177.720,4.090,0.727
3.937,B,177.800,4.080,0.725
3.957,B,177.920,4.090,0.728
3.977,B,184.320,4.080,0.752
3.997,B,177.800,4.090,0.727
4.018,B,177.600,4.090,0.726
4.035,B,177.920,4.090,0.728
4.055,B,177.400,4.090,0.726
4.075,B,184.320,4.090,0.754
4.095,B,183.000,4.090,0.748
4.116,B,182.320,4.090,0.746
4.133,B,178.400,4.090,0.730
4.154,B,178.000,4.090,0.728
4.173,B,191.920,4.090,0.785
4.194,B,178.520,4.090,0.730
4.214,B,178.000,4.090,0.728
4.233,B,178.120,4.090,0.729
4.252,B,177.720,4.090,0.727
4.272,B,185.520,4.080,0.757
4.292,B,177.520,4.080,0.724
4.312,B,177.520,4.080,0.724
4.331,B,177.320,4.080,0.723
4.350,B,182.400,4.080,0.744
4.371,B,182.000,4.080,0.743
4.390,B,177.520,4.080,0.724
4.411,B,177.720,4.090,0.727
4.429,B,177.120,4.080,0.723
4.449,B,177.720,4.090,0.727
4.469,B,177.000,4.080,0.722
4.490,B,183.000,4.080,0.747
4.509,B,177.600,4.080,0.725
4.529,B,177.000,4.090,0.724
4.547,B,177.720,4.080,0.725
4.567,B,177.120,4.090,0.724
4.588,B,188.600,4.080,0.769
4.607,B,182.520,4.080,0.745
4.628,B,177.320,4.090,0.725
4.645,B,191.800,4.080,0.783
4.666,B,186.520,4.080,0.761
4.686,B,186.600,4.080,0.761
4.706,B,186.720,4.080,0.762
4.726,B,177.520,4.090,0.726
4.744,B,177.320,4.090,0.725
4.764,B,177.520,4.090,0.726
4.784,B,177.320,4.080,0.723
4.804,B,177.200,4.080,0.723
4.824,B,177.600,4.090,0.726
4.843,B,182.120,4.090,0.745
4.862,B,182.400,4.090,0.746
4.883,B,177.200,4.090,0.725
4.902,B,177.520,4.090,0.726
4.923,B,178.400,4.090,0.730
4.941,B,178.000,4.090,0.728
4.960,B,178.200,4.090,0.729
4.981,B,177.720,4.090,0.727
5.001,B,180.920,4.070,0.736
5.021,B,177.400,4.090,0.726
5.041,B,177.200,4.090,0.725
5.060,B,177.200,4.080,0.723
5.079,B,177.120,4.080,0.723
5.100,B,182.000,4.080,0.743
5.119,B,177.000,4.080,0.722
5.140,B,177.200,4.080,0.723
5.157,B,177.000,4.080,0.722
5.178,B,177.320,4.080,0.723
5.198,B,176.920,4.090,0.724
5.217,B,185.200,4.080,0.756
5.238,B,177.320,4.080,0.723
5.255,B,176.800,4.090,0.723
5.276,B,177.320,4.080,0.723
5.296,B,176.800,4.080,0.721
5.316,B,184.120,4.080,0.751
5.336,B,182.120,4.080,0.743
5.355,B,181.720,4.080,0.741
5.374,B,177.200,4.080,0.723
5.395,B,177.000,4.080,0.722
5.414,B,184.320,4.080,0.752
5.435,B,177.200,4.090,0.725
5.453,B,177.200,4.090,0.725
5.472,B,177.120,4.080,0.723
5.493,B,177.320,4.090,0.725
5.512,B,184.200,4.090,0.753
5.533,B,177.320,4.090,0.725
5.551,B,177.400,4.090,0.726
5.571,B,177.000,4.080,0.722
5.591,B,180.200,4.070,0.733
5.612,B,179.320,4.070,0.730
5.631,B,185.920,4.080,0.759
5.652,B,190.200,4.080,0.776
5.670,B,186.320,4.090,0.762
5.689,B,186.920,4.090,0.765
5.710,B,186.920,4.090,0.765
5.729,B,193.320,4.090,0.791
5.750,B,177.800,4.090,0.727
5.767,B,177.400,4.090,0.726
5.788,B,177.400,4.080,0.724
5.808,B,177.120,4.090,0.724
5.828,B,183.800,4.080,0.750
5.848,B,177.120,4.090,0.724
5.867,B,181.800,4.080,0.742
5.886,B,176.800,4.080,0.721
5.907,B,177.120,4.080,0.723
5.926,B,183.520,4.080,0.749
5.946,B,177.120,4.080,0.723
5.965,B,186.920,4.080,0.763
5.984,B,227.200,4.070,0.925
6.005,B,190.600,4.080,0.778
6.024,B,191.920,4.080,0.783
6.045,B,181.000,4.080,0.738
6.063,B,181.000,4.080,0.738
6.084,B,180.600,4.080,0.737
6.103,B,185.800,4.080,0.758
6.124,B,190.920,4.080,0.779
6.143,B,181.800,4.080,0.742
6.163,B,176.920,4.090,0.724
6.182,B,176.920,4.080,0.722
6.201,B,177.120,4.090,0.724
6.222,B,178.400,4.080,0.728
6.241,B,181.800,4.080,0.742
6.262,B,177.120,4.080,0.723
6.280,B,177.120,4.090,0.724
6.300,B,177.000,4.080,0.722
6.320,B,177.200,4.090,0.725
6.340,B,183.520,4.080,0.749
6.360,B,182.000,4.080,0.743
6.378,B,177.320,4.080,0.723
6.398,B,176.800,4.080,0.721
6.418,B,177.400,4.090,0.726
6.439,B,184.200,4.090,0.753
6.458,B,186.800,4.090,0.764
6.477,B,177.600,4.090,0.726
6.496,B,177.600,4.090,0.726
6.517,B,177.720,4.090,0.727
6.536,B,184.320,4.090,0.754
6.557,B,177.320,4.090,0.725
6.575,B,181.400,4.080,0.740
6.596,B,181.720,4.080,0.741
6.615,B,181.800,4.080,0.742
6.634,B,183.600,4.090,0.751
6.655,B,190.600,4.070,0.776
6.673,B,188.000,4.070,0.765
6.694,B,185.920,4.080,0.759
6.713,B,186.120,4.080,0.759
6.734,B,183.920,4.080,0.750
6.753,B,176.600,4.080,0.721
6.774,B,177.000,4.090,0.724
6.792,B,176.520,4.080,0.720
6.812,B,176.520,4.090,0.722
6.832,B,177.920,4.080,0.726
6.852,B,187.000,4.080,0.763
6.872,B,181.720,4.080,0.741
6.890,B,176.600,4.090,0.722
6.910,B,176.720,4.090,0.723
6.930,B,176.920,4.090,0.724
6.950,B,183.520,4.080,0.749
6.970,B,176.920,4.090,0.724
6.989,B,176.920,4.080,0.722
7.008,B,176.920,4.080,0.722
7.029,B,176.800,4.080,0.721
7.049,B,183.720,4.090,0.751
7.069,B,176.800,4.080,0.721
7.087,B,177.120,4.090,0.724
