machine,utime,sURI,path,file,date,ffversion,endTime,kwatthours,kwh,max,mean,min,seconds,startTime,std,sum,type,var
"reptile",1328867377,"vuze-26783.jar","/home/abez/green-results/reptile-1328867377-vuze-26783.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328868018,0.0039,0.00395389336471026,24.4,23.6838870431896,21.4,601,1328867417,0.259635301353494,14257.7000000001,wattageSummary,0.0674104897089197
"reptile",1328868038,"vuze-26797.jar","/home/abez/green-results/reptile-1328868038-vuze-26797.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328868676,0.0039,0.00397135241301906,24.4,23.8281144781144,21.6,600,1328868076,0.192789447402441,14153.8999999999,wattageSummary,0.0371677710297384
"reptile",1328868696,"vuze-26761.jar","/home/abez/green-results/reptile-1328868696-vuze-26761.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328869335,0.0039,0.00395596228508045,24.7,23.7357737104827,21.8,600,1328868735,0.293089477865531,14265.2000000001,wattageSummary,0.0859014420354894
"reptile",1328869356,"vuze-26787.jar","/home/abez/green-results/reptile-1328869356-vuze-26787.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328869995,0.0039,0.00395665557404328,24.4,23.7399334442597,21.6,600,1328869395,0.244341282279017,14267.7000000001,wattageSummary,0.0597026622257545
"reptile",1328870013,"vuze-26759.jar","/home/abez/green-results/reptile-1328870013-vuze-26759.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328870059,0,4.36527777777778e-05,23.0,22.45,21.9,7,1328870052,0.777817459305214,44.9,wattageSummary,0.605000000000018
"reptile",1328870669,"vuze-26753.jar","/home/abez/green-results/reptile-1328870669-vuze-26753.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328871308,0.0039,0.00395186733556302,24.3,23.7112040133781,21.6,600,1328870708,0.258571430039984,14179.3000000001,wattageSummary,0.0668591844329222
"reptile",1328871327,"vuze-26755.jar","/home/abez/green-results/reptile-1328871327-vuze-26755.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328871965,0.0039,0.00397683310185185,24.4,23.9008333333333,21.6,599,1328871366,0.297820640848503,14340.5,wattageSummary,0.0886971341154129
"reptile",1328871984,"vuze-26730.jar","/home/abez/green-results/reptile-1328871984-vuze-26730.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328872623,0.0039,0.00395531347222225,24.7,23.7715000000002,21.5,599,1328872024,0.309079763966934,14262.9000000001,wattageSummary,0.0955303004938559
"reptile",1328872643,"vuze-26752.jar","/home/abez/green-results/reptile-1328872643-vuze-26752.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328873283,0.0026,0.00400174432603117,24.7,23.9705150976909,21.5,601,1328872682,0.324970709396536,13495.4,wattageSummary,0.105605961965688
"reptile",1328873303,"vuze-26767.jar","/home/abez/green-results/reptile-1328873303-vuze-26767.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328873942,0.0039,0.00394244606481485,24.4,23.6941666666669,21.5,599,1328873343,0.257604164157831,14216.5000000001,wattageSummary,0.066359905391455
"reptile",1328873961,"vuze-26763.jar","/home/abez/green-results/reptile-1328873961-vuze-26763.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328874050,0,0.00032716049382716,24.3,23.5555555555556,21.6,50,1328874000,0.946191195149031,212,wattageSummary,0.895277777777551
"reptile",1328874619,"vuze-26764.jar","/home/abez/green-results/reptile-1328874619-vuze-26764.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328875257,0.0039,0.00394358305555559,24.4,23.7010000000002,21.8,599,1328874658,0.215118866842098,14220.6000000001,wattageSummary,0.0462761268714281
"reptile",1328875277,"vuze-26738.jar","/home/abez/green-results/reptile-1328875277-vuze-26738.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328875911,0.0036,0.00395444791666665,24.7,23.9260714285713,21.5,595,1328875316,0.326852384847609,13398.5999999999,wattageSummary,0.106832481480569
"reptile",1328875935,"vuze-26762.jar","/home/abez/green-results/reptile-1328875935-vuze-26762.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328876574,0.0023,0.00394398844979003,24.3,23.703436426117,21.4,599,1328875975,0.269930593308282,13795.4000000001,wattageSummary,0.0728625252037614
"reptile",1328876595,"vuze-26777.jar","/home/abez/green-results/reptile-1328876595-vuze-26777.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328877233,0.0039,0.00397557039510292,24.4,23.8534223706175,21.6,600,1328876633,0.264355353177034,14288.1999999999,wattageSummary,0.0698837527533546
"reptile",1328877252,"vuze-26779.jar","/home/abez/green-results/reptile-1328877252-vuze-26779.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328877893,0.0039,0.00394710495370373,24.4,23.7221666666668,21.7,599,1328877294,0.231187625996735,14233.3000000001,wattageSummary,0.0534477184140061
"reptile",1328877915,"vuze-26751.jar","/home/abez/green-results/reptile-1328877915-vuze-26751.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328878555,0.0039,0.00398458542014468,24.7,23.9075125208681,21.5,600,1328877955,0.30165705588052,14320.6,wattageSummary,0.0909969793625034
"reptile",1328878576,"vuze-26766.jar","/home/abez/green-results/reptile-1328878576-vuze-26766.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328878830,0.0004,0.00142364413364413,24.6,23.8377622377622,21.7,215,1328878615,0.515779759174308,3408.8,wattageSummary,0.266028759973907
"reptile",1328879234,"vuze-26745.jar","/home/abez/green-results/reptile-1328879234-vuze-26745.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328879876,0.0039,0.00396691666666666,24.6,23.8412353923205,21.5,599,1328879277,0.311570318278291,14280.9,wattageSummary,0.0970760632320354
"reptile",1328879898,"vuze-26734.jar","/home/abez/green-results/reptile-1328879898-vuze-26734.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328880537,0.0039,0.00397640044370497,24.9,23.8584026622298,21.8,600,1328879937,0.363455789498064,14338.9000000001,wattageSummary,0.132100110919661
"reptile",1328880559,"vuze-26780.jar","/home/abez/green-results/reptile-1328880559-vuze-26780.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328881196,0.0039,0.00395902949074074,24.4,23.7938333333333,21.6,599,1328880597,0.275630051763526,14276.3,wattageSummary,0.0759719254351641
"reptile",1328881215,"vuze-26751.jar","/home/abez/green-results/reptile-1328881215-vuze-26751.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328881855,0.0039,0.00397881828316612,24.9,23.8729096989967,21.7,600,1328881255,0.367255056583804,14276.0000000001,wattageSummary,0.134876276586373
"reptile",1328881878,"vuze-26777.jar","/home/abez/green-results/reptile-1328881878-vuze-26777.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328882516,0.0039,0.00395617314814814,24.4,23.7766666666666,21.5,599,1328881917,0.25231262022713,14266,wattageSummary,0.0636616583258801
"reptile",1328882534,"vuze-26753.jar","/home/abez/green-results/reptile-1328882534-vuze-26753.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328883173,0.0039,0.00394896296296298,24.6,23.7333333333335,21.8,599,1328882574,0.296088392396779,14240.0000000001,wattageSummary,0.0876683361121089
"reptile",1328883192,"vuze-26786.jar","/home/abez/green-results/reptile-1328883192-vuze-26786.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328883831,0.0039,0.00396874653355517,24.4,23.812479201331,21.5,600,1328883231,0.2680684178661,14311.2999999999,wattageSummary,0.0718606766572338
"reptile",1328883850,"vuze-26745.jar","/home/abez/green-results/reptile-1328883850-vuze-26745.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328884490,0.0039,0.0039761388888889,24.8,23.8568333333334,21.7,600,1328883890,0.332823162729766,14314.1,wattageSummary,0.110771257649444
"reptile",1328884517,"vuze-26761.jar","/home/abez/green-results/reptile-1328884517-vuze-26761.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328885155,0.0023,0.0039644342105263,24.4,23.8263157894736,21.5,599,1328884556,0.286256150568391,13128.3,wattageSummary,0.0819425837382336
"reptile",1328885172,"vuze-26748.jar","/home/abez/green-results/reptile-1328885172-vuze-26748.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328885811,0.0036,0.003967406970208,24.8,23.8441821247893,21.8,599,1328885212,0.373312483066769,14139.6000000001,wattageSummary,0.139362210013477
"reptile",1328885832,"vuze-26768.jar","/home/abez/green-results/reptile-1328885832-vuze-26768.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328886472,0.0022,0.00408459426614114,25.1,24.5484797297297,23.7,599,1328885873,0.203516595547499,14532.7,wattageSummary,0.0414190046632443
"reptile",1328886499,"vuze-26735.jar","/home/abez/green-results/reptile-1328886499-vuze-26735.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328887137,0.0033,0.00406777535109458,25.3,24.4473977695167,22.9,599,1328886538,0.262495391030075,13152.7,wattageSummary,0.068903830312032
"reptile",1328887165,"vuze-26797.jar","/home/abez/green-results/reptile-1328887165-vuze-26797.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328887807,0.0039,0.0039674722222222,24.6,23.844574290484,23.2,599,1328887208,0.210270833673559,14282.8999999999,wattageSummary,0.0442138234937733
"reptile",1328887826,"vuze-26737.jar","/home/abez/green-results/reptile-1328887826-vuze-26737.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328888465,0.0039,0.00396324467592595,24.8,23.8191666666668,21.8,599,1328887866,0.368205464820689,14291.5000000001,wattageSummary,0.13557526432382
"reptile",1328888486,"vuze-26759.jar","/home/abez/green-results/reptile-1328888486-vuze-26759.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328889125,0.0035,0.00393078664402945,24.5,23.5847198641767,21.6,600,1328888525,0.264583097727689,13891.4000000001,wattageSummary,0.0700042156031796
"reptile",1328889146,"vuze-26764.jar","/home/abez/green-results/reptile-1328889146-vuze-26764.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328889787,0.0039,0.00397250000000001,24.7,23.8350000000001,21.7,600,1328889187,0.32902192283829,14301,wattageSummary,0.108255425708206
"reptile",1328889807,"vuze-26783.jar","/home/abez/green-results/reptile-1328889807-vuze-26783.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328890445,0.0037,0.00394493440315318,24.4,23.7091216216218,21.5,599,1328889846,0.261295559227833,14035.8000000001,wattageSummary,0.068275369272186
"reptile",1328890462,"vuze-26778.jar","/home/abez/green-results/reptile-1328890462-vuze-26778.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328891106,0.0039,0.0039718137037037,24.4,23.8706666666666,21.7,599,1328890507,0.287942831159514,14322.4,wattageSummary,0.0829110740161561
"reptile",1328891124,"vuze-26790.jar","/home/abez/green-results/reptile-1328891124-vuze-26790.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328891763,0.0034,0.00394418069727894,24.3,23.7045918367349,21.5,599,1328891164,0.260184713701706,13938.3000000001,wattageSummary,0.0676960852440388
"reptile",1328891782,"vuze-26760.jar","/home/abez/green-results/reptile-1328891782-vuze-26760.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328892428,0.0039,0.00397676095396559,24.4,23.8605657237935,21.5,600,1328891828,0.273786436418386,14340.1999999999,wattageSummary,0.0749590127666791
"reptile",1328892445,"vuze-26791.jar","/home/abez/green-results/reptile-1328892445-vuze-26791.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328892907,0.0026,0.0027786550925926,24.3,23.7041666666667,21.5,422,1328892485,0.311305867531698,9671.30000000002,wattageSummary,0.0969113431596632
"reptile",1328893103,"vuze-26789.jar","/home/abez/green-results/reptile-1328893103-vuze-26789.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328893743,0.0039,0.00396388249999998,24.4,23.8229999999999,21.6,599,1328893144,0.264425543626907,14293.7999999999,wattageSummary,0.069920868122385
"reptile",1328893761,"vuze-26787.jar","/home/abez/green-results/reptile-1328893761-vuze-26787.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328894400,0.0039,0.00395510260676653,24.6,23.7306156405992,21.7,600,1328893800,0.29882177578232,14262.1000000001,wattageSummary,0.0892944536816988
"reptile",1328894418,"vuze-26752.jar","/home/abez/green-results/reptile-1328894418-vuze-26752.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328895061,0.0039,0.00397516921296296,24.7,23.8908333333333,21.5,599,1328894462,0.314267262179902,14334.5,wattageSummary,0.0987639120780515
"reptile",1328895082,"vuze-26765.jar","/home/abez/green-results/reptile-1328895082-vuze-26765.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328895723,0.0039,0.00393361157484698,24.5,23.6016694490819,21.8,600,1328895123,0.29589818638267,14137.4000000001,wattageSummary,0.0875557367045535
